Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Ragi,Delhi,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Ragi,Goa,Total,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.09,0.02,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.07,0.06,0.06,0.07,0.05,0.06,0.05,0.06,0.07,0.08,0.09,0.08,0.08,0.12,0.1,0.01,0.01,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,1063.0,1000.0,1016.0,1063.0,857.0,873.0,857.0,889.0,1032.0,1281.0,1453.0,1281.0,1219.0,1442.0,1209.0,600.0,750.0,943.0,1056.0,1027.0,1105.0,974.0,842.0,833.0,929.0,1207.0,893.0,1000.0,1100.0,1000.0,1000.0,750.0,1000.0,750.0,1250.0,1000.0,1000.0,1000.0,1000.0,500.0,933.0,1041.0,500.0,500.0,,,,,,,,,,
Ragi,Gujarat,Total,0.63,0.62,0.55,0.58,0.53,0.52,0.5,0.5,0.51,0.58,0.49,0.51,0.51,0.51,0.5,0.47,0.48,0.45,0.45,0.45,0.41,0.35,0.33,0.33,0.3,0.29,0.25,0.26,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.21,0.25,0.21,0.24,0.24,0.17,0.22,0.19,0.14,0.2,0.16,0.14,0.14,0.2,0.19,0.19,0.12,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.27,0.51,0.28,0.55,0.49,0.49,0.25,0.47,0.28,0.55,0.35,0.39,0.39,0.42,0.36,0.49,0.43,0.49,0.44,0.33,0.22,0.14,0.3,0.27,0.25,0.2,0.2,0.28,0.16,0.18,0.19,0.18,0.2,0.22,0.14,0.22,0.16,0.24,0.26,0.22,0.11,0.18,0.2,0.11,0.14,0.13,0.14,0.14,0.16,0.15,0.27,0.11,0.1,0.1,0.13,0.09,0.08,0.08,0.08,419.0,814.0,506.0,958.0,930.0,948.0,486.0,932.0,554.0,948.0,722.0,750.0,762.0,815.0,712.0,1027.0,904.0,1091.0,991.0,746.0,545.0,395.0,898.0,815.0,849.0,696.0,810.0,1066.0,800.0,947.0,946.0,947.0,1036.0,1108.0,714.0,1024.0,646.0,1148.0,1062.0,917.0,647.0,818.0,1053.0,786.0,700.0,813.0,1000.0,1000.0,800.0,789.0,1421.0,896.0,804.0,862.0,1205.0,900.0,812.0,820.0,766.0
Ragi,Haryana,Total,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragi,Himachal Pradesh,Total,0.13,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.13,0.11,0.1,0.09,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.06,0.07,0.11,0.11,0.09,0.08,0.08,0.1,0.1,0.09,0.1,0.09,0.06,0.08,0.08,0.06,0.06,0.07,0.06,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,450.0,500.0,755.0,757.0,662.0,655.0,591.0,790.0,775.0,770.0,810.0,790.0,568.0,560.0,736.0,602.0,709.0,866.0,722.0,597.0,525.0,229.0,390.0,688.0,683.0,765.0,804.0,660.0,652.0,524.0,568.0,1024.0,1135.0,1100.0,1024.0,1175.0,1250.0,1333.0,1000.0,1030.0,1067.0,1389.0,1043.0,815.0,913.0,1152.0,906.0,985.0,985.0,1027.0,952.0,1056.0,1060.0,1170.0,842.0,937.0,850.0,770.0,880.0
Ragi,Jammu And Kashmir,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.08,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.04,0.03,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,495.0,328.0,473.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0,548.0,548.0,
Ragi,Jharkhand,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.12,0.19,0.18,0.16,0.15,0.13,0.12,0.1,0.09,0.12,0.13,0.12,0.14,0.14,0.23,0.19,0.14,0.15,0.19,0.19,0.16,0.32,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.09,0.14,0.11,0.09,0.11,0.06,0.09,0.06,0.05,0.08,0.11,0.09,0.12,0.09,0.2,0.18,0.11,0.13,0.16,0.17,0.13,0.31,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,624.0,727.0,737.0,611.0,550.0,737.0,447.0,702.0,548.0,522.0,662.0,842.0,734.0,838.0,644.0,882.0,972.0,805.0,875.0,874.0,878.0,775.0,971.0,1108.0
Ragi,Karnataka,Total,8.53,8.12,7.81,12.0,9.74,9.62,9.37,9.96,10.04,10.48,9.15,10.13,11.53,11.82,10.63,11.48,10.3,11.25,10.81,11.09,11.75,11.16,11.5,11.67,10.54,10.66,10.38,10.29,9.44,10.2,10.35,9.39,10.31,9.16,10.21,9.54,7.67,9.98,8.93,9.38,6.06,8.33,8.41,7.65,7.88,6.8,6.45,6.71,7.08,7.05,5.98,7.78,5.27,6.41,7.85,8.46,8.12,8.27,8.73,5.27,6.06,4.69,8.55,9.19,8.61,8.11,7.7,8.07,12.22,7.26,13.7,16.61,14.61,10.94,14.28,9.45,14.34,12.67,12.0,15.52,12.04,11.78,13.99,10.43,14.44,15.36,15.67,13.53,16.18,14.88,12.83,17.34,14.02,18.87,15.39,7.15,11.25,17.33,17.24,8.16,14.97,13.94,13.12,15.88,12.72,9.75,11.8,12.98,11.88,8.59,12.86,6.78,11.64,13.7,11.27,11.48,10.35,12.34,618.0,747.0,601.0,713.0,944.0,895.0,865.0,773.0,804.0,1166.0,794.0,1352.0,1440.0,1236.0,1029.0,1243.0,917.0,1275.0,1172.0,1082.0,1321.0,1078.0,1024.0,1199.0,989.0,1354.0,1479.0,1523.0,1433.0,1587.0,1438.0,1367.0,1682.0,1530.0,1848.0,1614.0,931.0,1127.0,1941.0,1838.0,1347.0,1797.0,1658.0,1715.0,2015.0,1871.0,1512.0,1759.0,1833.0,1685.0,1436.0,1653.0,1285.0,1816.0,1745.0,1332.0,1414.0,1251.0,1414.0
Ragi,Kerala,Total,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.08,0.05,0.05,0.04,0.04,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,1373.0,1420.0,1520.0,980.0,960.0,880.0,880.0,920.0,1033.0,880.0,800.0,786.0,615.0,786.0,733.0,786.0,750.0,833.0,833.0,833.0,1111.0,800.0,833.0,842.0,895.0,875.0,765.0,800.0,765.0,765.0,786.0,765.0,750.0,800.0,842.0,846.0,800.0,1200.0,750.0,1000.0,667.0,833.0,683.0,667.0,1080.0,1100.0,1220.0,1000.0,1180.0,1273.0,1272.0,1208.0,1225.0,1435.0,1661.0,1696.0,1331.0,1615.0
Ragi,Ladakh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
