ST_NM,year,rain_mean_mm
Andhra Pradesh,2003,835.3714394654078
Andhra Pradesh,2004,817.2331312909919
Andhra Pradesh,2005,1148.319811215813
Andhra Pradesh,2006,930.3350929528278
Andhra Pradesh,2007,1117.1165163097862
Andhra Pradesh,2008,982.8815368147411
Andhra Pradesh,2009,725.7359993655382
Andhra Pradesh,2010,1340.2577974890494
Andhra Pradesh,2011,776.062683336207
Andhra Pradesh,2012,998.7848188829186
Andhra Pradesh,2013,931.9051681561355
Andhra Pradesh,2014,713.72821347573
Andhra Pradesh,2015,1023.7485888068962
Andhra Pradesh,2016,770.6472653959291
Andhra Pradesh,2017,892.7758063033946
Andhra Pradesh,2018,682.2430818590627
Andhra Pradesh,2019,922.8445261001652
Andhra Pradesh,2020,1252.5167105610478
Andhra Pradesh,2021,1181.5661540035371
Andhra Pradesh,2022,1057.2332626701977
Andhra Pradesh,2023,877.0136775629209
Andhra Pradesh,2024,1056.7445068359375
Arunachal Pradesh,1966,2892.458318699367
Arunachal Pradesh,1967,2441.32951289754
Arunachal Pradesh,1968,2500.098000137582
Arunachal Pradesh,1969,2364.9251952852346
Arunachal Pradesh,1970,3623.235373846263
Arunachal Pradesh,1971,2756.056273970414
Arunachal Pradesh,1972,2588.557973774812
Arunachal Pradesh,1973,2822.8405785534746
Arunachal Pradesh,1974,3729.240006602377
Arunachal Pradesh,1975,3036.2418779248665
Arunachal Pradesh,1976,2885.8663659847593
Arunachal Pradesh,1977,3552.3194090497395
Arunachal Pradesh,1978,2475.49586639307
Arunachal Pradesh,1979,2793.550436122112
Arunachal Pradesh,1980,3420.585770928601
Arunachal Pradesh,1981,2630.523155058403
Arunachal Pradesh,1982,2676.2091937445657
Arunachal Pradesh,1983,3104.2452439042654
Arunachal Pradesh,1984,3210.5851991176605
Arunachal Pradesh,1985,3107.4121951405423
Arunachal Pradesh,1986,2486.1807959515077
Arunachal Pradesh,1987,3507.987077571944
Arunachal Pradesh,1988,3169.238958425081
Arunachal Pradesh,1989,2746.2897736012073
Arunachal Pradesh,1990,3013.488934645229
Arunachal Pradesh,1991,2983.81417776244
Arunachal Pradesh,1992,2359.016445096182
Arunachal Pradesh,1993,2773.4542285693456
Arunachal Pradesh,1994,2301.2903810318344
Arunachal Pradesh,1995,2855.550464997299
Arunachal Pradesh,1996,2438.737671767877
Arunachal Pradesh,1997,2099.745107504824
Arunachal Pradesh,1998,3020.2666948986325
Arunachal Pradesh,1999,2173.5613747231723
Arunachal Pradesh,2000,2230.9750800808847
Arunachal Pradesh,2001,1903.7376794974543
Arunachal Pradesh,2002,2548.922792238022
Arunachal Pradesh,2003,2725.2811854506945
Arunachal Pradesh,2004,2809.8205053713327
Arunachal Pradesh,2005,2796.336068436319
Arunachal Pradesh,2006,1580.4762143118937
Arunachal Pradesh,2007,1980.1989553266567
Arunachal Pradesh,2008,2973.1898787966197
Arunachal Pradesh,2009,2323.3690906014326
Arunachal Pradesh,2010,3326.3217165803244
Arunachal Pradesh,2011,1573.3577818877318
Arunachal Pradesh,2012,1425.286240902383
Arunachal Pradesh,2013,2213.4864069734476
Arunachal Pradesh,2014,2295.0214683068684
Arunachal Pradesh,2015,2614.1101487458736
Arunachal Pradesh,2016,3289.189976430875
Arunachal Pradesh,2017,3266.9422064766536
Arunachal Pradesh,2018,2272.030306389509
Arunachal Pradesh,2019,2540.455290814138
Arunachal Pradesh,2020,2852.52886850978
Arunachal Pradesh,2021,2045.44495680645
Arunachal Pradesh,2022,2900.7905524171088
Arunachal Pradesh,2023,2129.8776990778924
Arunachal Pradesh,2024,2143.8076171875
Assam,1966,2409.8771447933054
Assam,1967,1879.9381670454068
Assam,1968,2129.5022363400667
Assam,1969,1986.112409176305
Assam,1970,2517.0187788747635
Assam,1971,2221.8688784982883
Assam,1972,2106.1971747612515
Assam,1973,2287.914683384371
Assam,1974,2752.657878789216
Assam,1975,2200.3194507151716
Assam,1976,1991.1784293095998
Assam,1977,2424.4269011837014
Assam,1978,1816.648066100825
Assam,1979,1889.8154883566474
Assam,1980,2227.565398128382
Assam,1981,2050.227793405539
Assam,1982,2146.6721276268363
Assam,1983,2337.129192750708
Assam,1984,2288.978962900117
Assam,1985,2193.390346861926
Assam,1986,1914.3842311313313
Assam,1987,2294.393711723066
Assam,1988,2406.567300845901
Assam,1989,2171.149547930614
Assam,1990,2419.531366965701
Assam,1991,2374.4836126408572
Assam,1992,2033.4742315929898
Assam,1993,2403.117705458133
Assam,1994,1886.109116122512
Assam,1995,2251.9639477379105
Assam,1996,1943.6188474327712
Assam,1997,1894.8049208756279
Assam,1998,2143.4178018463326
Assam,1999,2314.437048652177
Assam,2000,2168.403788289569
Assam,2001,1898.077091695484
Assam,2002,2098.942082654749
Assam,2003,2255.775308119005
Assam,2004,2504.4064963109277
Assam,2005,2102.5534976052827
Assam,2006,1693.1320353298095
Assam,2007,2213.069310536223
Assam,2008,2105.227697821912
Assam,2009,1762.0334966702324
Assam,2010,2479.7641877229485
Assam,2011,1660.2599614317176
Assam,2012,1834.2013710647307
Assam,2013,1790.4874710799677
Assam,2014,1842.2508575835361
Assam,2015,1988.8037257441158
Assam,2016,2133.584639949339
Assam,2017,2323.1993885013308
Assam,2018,1832.6935454339816
Assam,2019,2134.1446497106344
Assam,2020,2290.3693344710587
Assam,2021,1611.4421313925293
Assam,2022,2400.2552149712656
Assam,2023,1907.5465040065983
Assam,2024,2086.520263671875
Bihar,1966,739.6428926196089
Bihar,1967,1019.7726500484729
Bihar,1968,1143.532370983994
Bihar,1969,1335.86632738184
Bihar,1970,1100.3971331641637
Bihar,1971,1569.4382545665692
Bihar,1972,746.8856424690973
Bihar,1973,1273.7105246554863
Bihar,1974,1319.570890857537
Bihar,1975,1079.7782257277715
Bihar,1976,1167.7381095082353
Bihar,1977,1182.3260344796836
Bihar,1978,1293.1333317713518
Bihar,1979,1055.8119870574963
Bihar,1980,1269.025621976003
Bihar,1981,1382.247130099656
Bihar,1982,936.2829720269805
Bihar,1983,1143.3544571148161
Bihar,1984,1511.817956680474
Bihar,1985,1507.2548250775587
Bihar,1986,1366.3027733688739
Bihar,1987,1717.0297232403007
Bihar,1988,1380.9538303537477
Bihar,1989,1323.8218607448769
Bihar,1990,1237.5281783899195
Bihar,1991,1087.1473072868653
Bihar,1992,836.929540261066
Bihar,1993,1242.7068867139462
Bihar,1994,977.5449874544502
Bihar,1995,1176.8251085601803
Bihar,1996,1148.0226932997093
Bihar,1997,1333.6059391013998
Bihar,1998,1433.1651355097056
Bihar,1999,1447.2014256079394
Bihar,2000,1233.8136140234153
Bihar,2001,1326.4630333537557
Bihar,2002,1164.9815518210705
Bihar,2003,1379.3746818969012
Bihar,2004,1169.2298848338817
Bihar,2005,987.5799925137956
Bihar,2006,1059.4142565664492
Bihar,2007,1561.1290381327271
Bihar,2008,1218.4250307483107
Bihar,2009,938.4896951286977
Bihar,2010,778.7228448508602
Bihar,2011,1181.3693522962749
Bihar,2012,1081.0089764628083
Bihar,2013,1082.4064439030967
Bihar,2014,1112.2385895155874
Bihar,2015,974.0890587866306
Bihar,2016,1214.334202857954
Bihar,2017,1161.759460392023
Bihar,2018,879.3069822884592
Bihar,2019,1226.422312779254
Bihar,2020,1575.5057160614017
Bihar,2021,1561.2294569937583
Bihar,2022,962.9942794358708
Bihar,2023,979.6812668967392
Bihar,2024,984.2355346679688
Chandigarh,1966,1313.7457317858934
Chandigarh,1967,1586.5742689967155
Chandigarh,1968,946.7885577976704
Chandigarh,1969,885.5298407226801
Chandigarh,1970,1202.2479537427425
Chandigarh,1971,1603.0524952486157
Chandigarh,1972,535.8090332672
