YEAR,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
1946,Andhra Pradesh,1.7,7.8999999999999995,13.3,77.8,102.5,170.2,239.4,246.1,264.4,181.8,418.2,200.7,1923.9,9.6,193.5,920.0999999999999,800.6999999999999
1947,Andhra Pradesh,33.5,4.4,1.6,25.700000000000003,38.6,152.1,341.4,352.29999999999995,336,242.1,75.5,147.3,1750.5,38,65.9,1181.8,464.8
1948,Andhra Pradesh,5.6,27.900000000000002,11.5,57.3,81.5,125.9,276.4,219.6,310.4,212.5,295,9.6,1633.5,33.5,150.5,932.4000000000001,517.1
1949,Andhra Pradesh,7.7,0.6,2.6,41.300000000000004,140.10000000000002,212.89999999999998,369,342.29999999999995,435.70000000000005,417.4,74.4,0,2043.8,8.3,183.8,1359.6999999999998,491.9
1950,Andhra Pradesh,0.2,23.1,34.4,7.7,91.1,129.2,288.6,217.5,328.9,231.6,144.1,0.5,1496.9,23.299999999999997,133.1,964.2,376.2
1951,Andhra Pradesh,1.2,0.1,44,92,153.8,188.5,391.9,243.4,239.7,161.8,115.9,2.3000000000000003,1634.5,1.3,289.8,1063.4,280
1952,Andhra Pradesh,0,21.7,13.399999999999999,41,277.7,143.2,189.7,210.70000000000002,182.79999999999998,360.5,7.4,169.89999999999998,1617.9,21.7,332.1,726.3,537.7
1953,Andhra Pradesh,14.399999999999999,1.1,0,60.7,63.2,200.39999999999998,274.8,249.3,325.6,544.2,51.300000000000004,0.6,1785.7,15.5,123.9,1050.1,596.0999999999999
1954,Andhra Pradesh,13.700000000000001,0,20.9,16.8,72.9,180.29999999999998,426.9,285,339.5,485.4,0,97.3,1938.9,13.700000000000001,110.6,1231.8,582.9
1955,Andhra Pradesh,20.299999999999997,1.3,23.400000000000002,28,385.7,161.3,236.2,446.8,295.8,424.79999999999995,138.5,33.3,2195.3,21.6,437.2,1139.9,596.5
1956,Andhra Pradesh,7.800000000000001,3.3000000000000003,0.5,84.80000000000001,148.5,300.7,449.2,236,377.9,551.4000000000001,140.6,38.7,2339.5,11.2,233.7,1363.9,730.7
1957,Andhra Pradesh,1.7,2.2,32.2,25.700000000000003,69.5,271.8,226.5,387.3,272,204.6,96,0,1589.3000000000002,3.9,127.4,1157.5,300.6
1958,Andhra Pradesh,10,8,15.1,48.3,85,139.6,347,464.79999999999995,309.4,729.9000000000001,236.60000000000002,19.900000000000002,2413.7,18,148.39999999999998,1260.8,986.4000000000001
1959,Andhra Pradesh,6,15.899999999999999,0,33.7,50.9,281.5,361.4,323.7,294,304.8,64.2,20.3,1756.5,21.799999999999997,84.7,1260.6,389.3
1960,Andhra Pradesh,1.9,0.2,30.1,7.8999999999999995,59.8,223.3,286.3,119.6,511.3,168.6,251.4,27.5,1687.6,2.1,97.80000000000001,1140.4,447.4
1961,Andhra Pradesh,12,36.3,2.8,12,85.8,234.8,312.3,297.6,235.5,423.8,111.5,6.300000000000001,1770.7,48.3,100.6,1080.2,541.7
1962,Andhra Pradesh,5.6,12.7,6.300000000000001,79.4,147.1,175.3,271.7,296.2,428.8,589,70.19999999999999,79.4,2161.8,18.200000000000003,232.8,1172.1,738.8
1963,Andhra Pradesh,7.1,0.3,17.1,88.30000000000001,49.9,204.2,220,324.29999999999995,227.20000000000002,531.4,33.1,30,1733,7.4,155.3,975.8,594.5
1964,Andhra Pradesh,0.7,11.2,1.1,8,45.5,173.5,383.5,315.8,578.8,127.2,193,14.299999999999999,1852.6,11.9,54.5,1451.5,334.6
1965,Andhra Pradesh,2,1.7999999999999998,12.6,75.6,52.300000000000004,99.2,244.9,326.3,317.5,74.5,87.2,56.599999999999994,1350.1,3.8,140.4,987.8,218.29999999999998
1966,Andhra Pradesh,46.2,1.4,5,18.299999999999997,68,201.6,340,293,272.6,160.7,394.5,57.5,1858.8000000000002,47.599999999999994,91.19999999999999,1107.3,612.7
1967,Andhra Pradesh,29.9,0.1,106.5,25.900000000000002,71.2,187,372.9,173.5,282.4,128.2,47.800000000000004,155.6,1580.7,29.9,203.5,1015.8,331.6
1968,Andhra Pradesh,11.4,14.4,24.4,81,49.2,116,248.1,59.1,315.20000000000005,310.9,161.7,71.6,1462.8,25.700000000000003,154.5,738.3,544.2
1969,Andhra Pradesh,0.2,0.4,3.6,10.6,317.90000000000003,186.3,310.5,226.39999999999998,172,466.1,310.7,117.3,2122.1,0.7,332,895.3,894.0999999999999
1970,Andhra Pradesh,1,23.9,25.2,31,171.7,231.7,290,444.8,264.5,291.20000000000005,64.89999999999999,0.5,1840.6,24.9,227.9,1231,356.7
