Crop,State,Year,Season,Area,Production,Yield,T_Jan,T_Feb,T_Mar,T_Apr,T_May,T_Jun,T_Jul,T_Aug,T_Sep,T_Oct,T_Nov,T_Dec,T_Summer,T_Monsoon,T_Post Monsoon,T_Winter,T_Annual,R_JAN,R_FEB,R_MAR,R_APR,R_MAY,R_JUN,R_JUL,R_AUG,R_SEP,R_OCT,R_NOV,R_DEC,R_ANNUAL,R_JF,R_MAM,R_JJAS,R_OND
Small Millets,Dadra And Nagar Haveli,2021.0,Kharif,0.0,0.0025,764.9166666666666,17.243726443768995,19.238978723404255,22.98582978723404,26.2813556231003,28.074133738601823,27.90026139817629,26.519075987841944,26.10658358662614,25.877872340425537,24.515434650455923,21.25733130699088,18.23365349544073,25.780480243161094,26.60221276595745,21.335422492401218,18.243416413373858,23.68689361702128,22.523486088379702,28.857855973813418,38.76301145662848,60.414566284779056,115.65597381342063,308.98256955810143,455.6292144026187,392.17692307692306,258.7681669394435,126.75957446808512,53.66751227495909,24.97176759410802,1883.5430441898525,51.37070376432079,214.83396072013096,1415.3804418985271,205.3934533551555
Small Millets,Dadra And Nagar Haveli,2022.0,Kharif,0.004166666666666667,0.0,764.9166666666666,17.243726443768995,19.238978723404255,22.98582978723404,26.2813556231003,28.074133738601823,27.90026139817629,26.519075987841944,26.10658358662614,25.877872340425537,24.515434650455923,21.25733130699088,18.23365349544073,25.780480243161094,26.60221276595745,21.335422492401218,18.243416413373858,23.68689361702128,22.523486088379702,28.857855973813418,38.76301145662848,60.414566284779056,115.65597381342063,308.98256955810143,455.6292144026187,392.17692307692306,258.7681669394435,126.75957446808512,53.66751227495909,24.97176759410802,1883.5430441898525,51.37070376432079,214.83396072013096,1415.3804418985271,205.3934533551555
Small Millets,Dadra And Nagar Haveli,2023.0,Kharif,0.004166666666666667,0.0025,0.0,17.243726443768995,19.238978723404255,22.98582978723404,26.2813556231003,28.074133738601823,27.90026139817629,26.519075987841944,26.10658358662614,25.877872340425537,24.515434650455923,21.25733130699088,18.23365349544073,25.780480243161094,26.60221276595745,21.335422492401218,18.243416413373858,23.68689361702128,22.523486088379702,28.857855973813418,38.76301145662848,60.414566284779056,115.65597381342063,308.98256955810143,455.6292144026187,392.17692307692306,258.7681669394435,126.75957446808512,53.66751227495909,24.97176759410802,1883.5430441898525,51.37070376432079,214.83396072013096,1415.3804418985271,205.3934533551555
Small Millets,Daman And Diu,2021.0,Kharif,0.0,0.0,0.0,17.36531654363873,19.530185844550587,23.00903777681285,26.24324359531046,28.11966565349544,27.884264871906208,26.56798349978289,26.124622666087713,25.912094659140255,24.578209292227527,21.333141120277897,18.336886669561444,25.790656534954408,26.62357012592271,21.416035605731658,18.449826313504122,23.751092488059054,21.737713350479304,26.5831073182137,39.90346036941782,59.10754033200842,123.2694061257891,305.14000467617484,457.0228431143325,394.86153846153843,262.5820551788637,123.66699789572131,53.58094458732757,23.5961304652794,1887.9451367781153,48.31060322656067,222.28075754033202,1419.4568622866495,200.84109188683658
Small Millets,Daman And Diu,2022.0,Kharif,0.0,0.0,0.0,17.486906643508465,19.821392965696916,23.03224576639166,26.205131567520624,28.165197568389058,27.868268345636128,26.616891011723837,26.142661745549283,25.946316977854973,24.640983933999127,21.408950933564917,18.440119843682155,25.80083282674772,26.644927485887976,21.496648719062094,18.65623621363439,23.815291359096832,20.95194061257891,24.30835866261398,41.04390928220716,57.80051437923779,130.8828384381576,301.2974397942483,458.4164718260463,397.5461538461538,266.3959434182838,120.5744213233575,53.49437689969605,22.220493336450783,1892.347229366378,45.250502688800566,229.7275543605331,1423.5332826747722,196.28873041851764
Small Millets,Daman And Diu,2023.0,Kharif,0.0,0.0,0.0,17.6084967433782,20.112600086843248,23.055453755970472,26.167019539730784,28.210729483282673,27.852271819366045,26.665798523664783,26.160700825010856,25.98053929656969,24.70375857577073,21.484760746851933,18.54335301780287,25.811009118541033,26.666284845853237,21.577261832392534,18.862646113764654,23.879490230134607,20.16616787467851,22.03361000701426,42.1843581949965,56.49348842646715,138.49627075052607,297.4548749123217,459.8101005377601,400.23076923076917,270.209831657704,117.4818447509937,53.407809212064535,20.844856207622165,1896.749321954641,42.19040215104045,237.17435118073416,1427.6097030628946,191.73636895019874
Small Millets,Delhi,2021.0,Kharif,0.0,0.0,0.0,17.73008684324794,20.403807207989576,23.078661745549287,26.128907511940945,28.256261398176292,27.836275293095966,26.71470603560573,26.17873990447243,26.014761615284414,24.76653321754233,21.56057056013895,18.646586191923582,25.821185410334344,26.687642205818502,21.65787494572297,19.06905601389492,23.943689101172385,19.380395136778116,19.758861351414545,43.32480710778584,55.18646247369652,146.10970306289454,293.6123100303951,461.20372924947395,402.9153846153846,274.0237198971241,114.38926817862989,53.32124152443301,19.469219078793547,1901.151414542904,39.13030161328034,244.62114800093525,1431.6861234510172,187.18400748187983
Small Millets,Delhi,2022.0,Kharif,0.0,0.0,0.0,17.851676943117674,20.69501432913591,23.101869735128098,26.090795484151105,28.301793313069908,27.820278766825883,26.763613547546676,26.196778983934003,26.048983933999132,24.829307859313936,21.636380373425965,18.749819366044296,25.83136170212766,26.708999565783763,21.73848805905341,19.275465914025183,24.00788797221016,18.594622398877718,17.484112695814822,44.465256020575175,53.879436520925886,153.72313537526304,289.76974514846853,462.59735796118775,405.59999999999997,277.8376081365443,111.29669160626608,53.2346738368015,18.09358194996493,1905.5535071311667,36.07020107552023,252.0679448211363,1435.7625438391397,182.63164601356092
Small Millets,Delhi,2023.0,Kharif,0.0,0.0,0.0,17.97326704298741,20.986221450282237,23.12507772470691,26.05268345636127,28.347325227963527,27.804282240555803,26.812521059487622,26.214818063395573,26.08320625271385,24.892082501085536,21.712190186712984,18.853052540165006,25.84153799392097,26.730356925749028,21.819101172383846,18.21952747252747,24.072086843247938,17.808849660977323,15.209364040215107,45.605704933364514,52.572410568155256,114.40384615384616,285.927180266542,463.99098667290156,408.28461538461534,281.6514963759644,108.20411503390227,53.148106149169976,16.717944821136314,1909.9555997194295,33.01010053776012,259.51474164133737,1439.8389642272623,178.079284545242
Small Millets,Goa,2006.0,Kharif,0.0,0.0,0.0,18.094857142857144,19.261851063829788,23.14828571428572,26.01457142857143,28.392857142857142,27.78828571428572,26.86142857142857,26.232857142857146,26.11742857142857,24.95485714285714,21.788,18.95628571428572,25.851714285714284,26.75171428571429,21.899714285714285,18.21952747252747,24.136285714285712,17.023076923076925,12.934615384615386,46.74615384615385,51.26538461538462,114.40384615384616,282.0846153846154,465.38461538461536,410.9692307692307,285.4653846153846,105.11153846153846,53.06153846153846,15.342307692307694,1914.3576923076923,29.950000000000003,266.96153846153845,1443.9153846153847,173.52692307692308
